# hist_val	vel_center	shear_center
4.016452091705133287e-09 1.083110234641187600e-07 1.117926801369632724e-04
5.674629171398791472e-09 1.083110234641187600e-07 1.397140571795882510e-04
7.856259710272914254e-09 1.083110234641187600e-07 1.746090866563554530e-04
8.320738508686524593e-09 1.083110234641187600e-07 2.182195103229805076e-04
9.715562926138629832e-09 1.083110234641187600e-07 2.727220879364708039e-04
1.307829788086203870e-08 1.083110234641187600e-07 3.408372474960846919e-04
1.752931587162059532e-08 1.083110234641187600e-07 4.259648720046778597e-04
1.941297783170179564e-08 1.083110234641187600e-07 5.323540003768097682e-04
2.722439940323895247e-08 1.083110234641187600e-07 6.653149129022080041e-04
2.402419479704317323e-08 1.083110234641187600e-07 8.314841872452567988e-04
3.214648793236881200e-08 1.083110234641187600e-07 1.039155954919240626e-03
4.377795144284795346e-08 1.083110234641187600e-07 1.298695892487976636e-03
4.699794291532845584e-08 1.083110234641187600e-07 1.623058611347917091e-03
5.440433816309293543e-08 1.083110234641187600e-07 2.028434270954636732e-03
9.265291273471664411e-08 1.083110234641187600e-07 2.535056690384226725e-03
1.242797896083611657e-07 1.083110234641187600e-07 3.168213294107543893e-03
1.725582640708374254e-07 1.083110234641187600e-07 3.959507302157582939e-03
2.380227874826434579e-07 1.083110234641187600e-07 4.948435165333612412e-03
4.358812655516836683e-07 1.083110234641187600e-07 6.184357981147564805e-03
6.656129465359093633e-07 1.083110234641187600e-07 7.728965291274075139e-03
4.350134674312404668e-07 1.083110234641187600e-07 9.659354237872657539e-03
2.036125016610892849e-07 1.083110234641187600e-07 1.207187777101895176e-02
1.411186550180170530e-07 1.083110234641187600e-07 1.508695398570625290e-02
1.213839433831978131e-07 1.083110234641187600e-07 1.885507664045917367e-02
9.125856983586760549e-09 1.083110234641187600e-07 2.356432686507902927e-02
2.166077039955638384e-10 1.083110234641187600e-07 2.944976099501883313e-02
0.000000000000000000e+00 1.083110234641187600e-07 3.680514311439994635e-02
0.000000000000000000e+00 1.083110234641187600e-07 4.599760792288207223e-02
0.000000000000000000e+00 1.083110234641187600e-07 5.748598580504876709e-02
0.000000000000000000e+00 1.083110234641187600e-07 7.184370477522883380e-02
0.000000000000000000e+00 1.083110234641187600e-07 8.978741241968792031e-02
0.000000000000000000e+00 1.083110234641187600e-07 1.122127464646390793e-01
0.000000000000000000e+00 1.083110234641187600e-07 1.402390394132390916e-01
0.000000000000000000e+00 1.083110234641187600e-07 1.752651886276178905e-01
0.000000000000000000e+00 1.083110234641187600e-07 2.190394805412121115e-01
0.000000000000000000e+00 1.083110234641187600e-07 2.737468541896386776e-01
0.000000000000000000e+00 1.083110234641187600e-07 3.421179597101169367e-01
0.000000000000000000e+00 1.083110234641187600e-07 4.275654553280463510e-01
0.000000000000000000e+00 1.083110234641187600e-07 5.343543459243703664e-01
0.000000000000000000e+00 1.083110234641187600e-07 6.678148654202835655e-01
4.263701676226680504e-09 1.270626705476337715e-07 1.117926801369632724e-04
3.084129713063193251e-09 1.270626705476337715e-07 1.397140571795882510e-04
6.400797236206026697e-09 1.270626705476337715e-07 1.746090866563554530e-04
7.874798316551264929e-09 1.270626705476337715e-07 2.182195103229805076e-04
9.968784339675629269e-09 1.270626705476337715e-07 2.727220879364708039e-04
9.227963574171189377e-09 1.270626705476337715e-07 3.408372474960846919e-04
1.467149252670665698e-08 1.270626705476337715e-07 4.259648720046778597e-04
2.040191941961051053e-08 1.270626705476337715e-07 5.323540003768097682e-04
2.225912158540228718e-08 1.270626705476337715e-07 6.653149129022080041e-04
2.749478500365006017e-08 1.270626705476337715e-07 8.314841872452567988e-04
2.931390485300740430e-08 1.270626705476337715e-07 1.039155954919240626e-03
4.093290315768485007e-08 1.270626705476337715e-07 1.298695892487976636e-03
4.637700463664871063e-08 1.270626705476337715e-07 1.623058611347917091e-03
5.767252682701667606e-08 1.270626705476337715e-07 2.028434270954636732e-03
9.677110872641406074e-08 1.270626705476337715e-07 2.535056690384226725e-03
1.305662123425561190e-07 1.270626705476337715e-07 3.168213294107543893e-03
1.478554468280528970e-07 1.270626705476337715e-07 3.959507302157582939e-03
2.246373888801580034e-07 1.270626705476337715e-07 4.948435165333612412e-03
3.364256067707857921e-07 1.270626705476337715e-07 6.184357981147564805e-03
6.224740500260846595e-07 1.270626705476337715e-07 7.728965291274075139e-03
