# binIndex	binCenter	count
0	0.804	2.49746
1	0.812	2.50094
2	0.82	2.50071
3	0.828	2.49873
4	0.836	2.50129
5	0.844	2.50134
6	0.852	2.49786
7	0.86	2.49742
8	0.868	2.50077
9	0.876	2.50178
10	0.884	2.50053
11	0.892	2.50006
12	0.9	2.49945
13	0.908	2.50087
14	0.916	2.49996
15	0.924	2.50017
16	0.932	2.49747
17	0.94	2.50185
18	0.948	2.49901
19	0.956	2.49824
20	0.964	2.50194
21	0.972	2.49905
22	0.98	2.49996
23	0.988	2.49923
24	0.996	2.5035
25	1.004	2.49902
26	1.012	2.50183
27	1.02	2.50079
28	1.028	2.50079
29	1.036	2.49927
30	1.044	2.4971
31	1.052	2.50081
32	1.06	2.50079
33	1.068	2.50242
34	1.076	2.50081
35	1.084	2.49821
36	1.092	2.49779
37	1.1	2.50141
38	1.108	2.5003
39	1.116	2.50019
40	1.124	2.49779
41	1.132	2.49995
42	1.14	2.49951
43	1.148	2.50175
44	1.156	2.50485
45	1.164	2.49754
46	1.172	2.50189
47	1.18	2.49731
48	1.188	2.49957
49	1.196	2.49876
