# binIndex	binCenter	count
0	0.0299987	0.548977
1	0.0899961	0.549061
2	0.149994	0.549299
3	0.209991	0.549513
4	0.269988	0.549634
5	0.329986	0.549642
6	0.389983	0.549686
7	0.449981	0.549292
8	0.509978	0.549387
9	0.569975	0.54916
10	0.629973	0.549006
11	0.68997	0.549593
12	0.749968	0.549255
13	0.809965	0.549738
14	0.869962	0.549145
15	0.92996	0.549466
16	0.989957	0.547639
17	1.04995	0.525193
18	1.10995	0.497005
19	1.16995	0.470473
20	1.22995	0.445772
21	1.28994	0.422252
22	1.34994	0.398696
23	1.40994	0.37745
24	1.46994	0.356775
25	1.52993	0.336916
26	1.58993	0.317312
27	1.64993	0.298987
28	1.70993	0.281098
29	1.76992	0.263963
30	1.82992	0.247383
31	1.88992	0.230805
32	1.94992	0.215148
33	2.00991	0.200038
34	2.06991	0.185523
35	2.12991	0.171471
36	2.18991	0.157392
37	2.2499	0.143903
38	2.3099	0.130588
39	2.3699	0.118117
40	2.42989	0.105417
41	2.48989	0.0932745
42	2.54989	0.0812285
43	2.60989	0.069805
44	2.66988	0.0584027
45	2.72988	0.0472187
46	2.78988	0.0363807
47	2.84988	0.0256346
48	2.90987	0.0152093
49	2.96987	0.00506622
