# binIndex	binCenter	count
0	0.0225	0.681949
1	0.0674999	0.716874
2	0.1125	0.760196
3	0.1575	0.819223
4	0.2025	0.90879
5	0.2475	1.11911
6	0.2925	1.11265
7	0.3375	1.01001
8	0.3825	0.927163
9	0.4275	0.857053
10	0.4725	0.797207
11	0.5175	0.745118
12	0.562499	0.698531
13	0.607499	0.657447
14	0.652499	0.620457
15	0.697499	0.587612
16	0.742499	0.556331
17	0.787499	0.528707
18	0.832499	0.502648
19	0.877499	0.478818
20	0.922499	0.45585
21	0.967499	0.434732
22	1.0125	0.414821
23	1.0575	0.396511
24	1.1025	0.378527
25	1.1475	0.361436
26	1.1925	0.345712
27	1.2375	0.330475
28	1.2825	0.315944
29	1.3275	0.301078
30	1.3725	0.287744
31	1.4175	0.274962
32	1.4625	0.261516
33	1.5075	0.248978
34	1.5525	0.237058
35	1.5975	0.225186
36	1.6425	0.213114
37	1.6875	0.20108
38	1.7325	0.190061
39	1.7775	0.178031
40	1.8225	0.166939
41	1.8675	0.155816
42	1.9125	0.143915
43	1.9575	0.13144
44	2.0025	0.119494
45	2.0475	0.106451
46	2.0925	0.0922112
47	2.1375	0.0770345
48	2.1825	0.0585474
49	2.2275	0.0316814
