# binIndex	binCenter	count
0	-1.46983	0.010172
1	-1.40983	0.0310196
2	-1.34984	0.0529094
3	-1.28984	0.0755417
4	-1.22985	0.0994137
5	-1.16985	0.124343
6	-1.10986	0.150711
7	-1.04986	0.178496
8	-0.989867	0.207632
9	-0.929872	0.238908
10	-0.869877	0.272418
11	-0.809882	0.308233
12	-0.749887	0.346835
13	-0.689891	0.388514
14	-0.629896	0.434378
15	-0.569901	0.483733
16	-0.509906	0.536469
17	-0.44991	0.549226
18	-0.389915	0.549578
19	-0.32992	0.549423
20	-0.269925	0.549075
21	-0.209929	0.549522
22	-0.149934	0.549494
23	-0.0899389	0.549178
24	-0.0299436	0.548728
25	0.0300516	0.549311
26	0.0900468	0.549649
27	0.150042	0.549742
28	0.210037	0.549479
29	0.270033	0.549481
30	0.330028	0.54918
31	0.390023	0.549381
32	0.450018	0.549404
33	0.510014	0.536386
34	0.570009	0.483764
35	0.630004	0.433695
36	0.689999	0.387676
37	0.749994	0.346886
38	0.80999	0.308118
39	0.869985	0.272671
40	0.92998	0.239306
41	0.989975	0.207601
42	1.04997	0.178518
43	1.10997	0.150633
44	1.16996	0.124394
45	1.22996	0.0993152
46	1.28995	0.0755312
47	1.34995	0.0527452
48	1.40994	0.0310313
49	1.46994	0.0101396
