# |dWW|[1/s]	histogram
1.109254921676902281e-04 7.415506347561769010e-06
1.364878815202595348e-04 8.980168934712436210e-06
1.679410335518397566e-04 1.106933947572820036e-05
2.066424537937727865e-04 1.336559339195978727e-05
2.542624801503952999e-04 1.647208853657312043e-05
3.128563740186208987e-04 1.989464858307537218e-05
3.849530245523604690e-04 2.398444148396199744e-05
4.736640945125516447e-04 2.886627771077264980e-05
5.828183183942715895e-04 3.514116526258552540e-05
7.171267490846837183e-04 4.236845371470058749e-05
8.823860850318489442e-04 5.115328008686482347e-05
1.085728853444134587e-03 6.192753182461828475e-05
1.335931247327599427e-03 7.463935097641968179e-05
1.643791902485446316e-03 9.009109034553220482e-05
2.022597962344180583e-03 1.080442357923386276e-04
2.488698545779001545e-03 1.291121174388122758e-04
3.062210368581676570e-03 1.527008461245137408e-04
3.767885972912779317e-03 1.804277989013850815e-04
4.636182037176131941e-03 2.088946798385628821e-04
5.704573874144725464e-03 2.387685607236637777e-04
7.019172850554374933e-03 2.711399307050547935e-04
8.636716535351453283e-03 3.025104210529732784e-04
1.062701747060151511e-02 3.298469886169061796e-04
1.307597625303725739e-02 3.499681380282832280e-04
1.608928896964693933e-02 3.626097733990304300e-04
1.979700899874868233e-02 3.639401919196079069e-04
2.435916006207057213e-02 3.447692145191277001e-04
2.997264278493176962e-02 2.915166711738260627e-04
3.687973284891499920e-02 2.008164330741515555e-04
4.537853751391967422e-02 9.787717037120814700e-05
5.583586180892839701e-02 3.175057011092254078e-05
6.870303969116291209e-02 7.749858462718917096e-06
8.453541344016192449e-02 2.080849350553221067e-06
1.040163020096810387e-01 5.945261922629674345e-07
1.279864928019502912e-01 1.688978796335338650e-07
1.574805297175350394e-01 3.709677895598340047e-08
1.937713636585994825e-01 6.109953426883252270e-09
2.384252925835339820e-01 8.281721298325495084e-10
2.933695623038515832e-01 2.919069638784854703e-10
3.609755456468601853e-01 1.747056041501160450e-10
