# |dWZ|[1/s]	histogram
1.116701546277778736e-04 3.007581317218344449e-06
1.392551779183808414e-04 3.556382038793823834e-06
1.736543183066047624e-04 4.245176305413411738e-06
2.165508149665091046e-04 5.147636287234506663e-06
2.700437047575318769e-04 6.191553085765577288e-06
3.367505335431369442e-04 7.440046281041522809e-06
4.199354395000929187e-04 8.915030977150625554e-06
5.236688758669676320e-04 1.050526066641099761e-05
6.530267887802615034e-04 1.250681733999399036e-05
8.143389964863863078e-04 1.490998274025714823e-05
1.015498923768653030e-03 1.811972083184663928e-05
1.266349847698263528e-03 2.211697426012051201e-05
1.579166554715866460e-03 2.673238082247561933e-05
1.969255977774142952e-03 3.216311679302702865e-05
2.455706204274917068e-03 3.983941762789446148e-05
3.062320505702161022e-03 4.777663342516805527e-05
3.818782093443815785e-03 5.809111978794168811e-05
4.762106595326270377e-03 7.123269709070618842e-05
5.938453326306197128e-03 8.761456569457838454e-05
7.405383983493332538e-03 1.064226412327331497e-04
9.234679289310947572e-03 1.304209794326772294e-04
1.151585140845051529e-02 1.597190736775312052e-04
1.436052401029369596e-02 1.952359313126510046e-04
1.790789430461830339e-02 2.373732382935885617e-04
2.233154432216445315e-02 2.859337527859634898e-04
2.784793473368812194e-02 3.366374488430736930e-04
3.472699683210214022e-02 3.781140707061997168e-04
4.330534097086762013e-02 3.918833021542447552e-04
5.400272778179026484e-02 3.733965679797801931e-04
6.734260815163641001e-02 3.356709617960210168e-04
8.397773703190712646e-02 2.960339272230342635e-04
1.047221144319277902e-01 2.564990265463218747e-04
1.305908165509032104e-01 2.090512398984882558e-04
1.628496660895555059e-01 1.496669775989667439e-04
2.030771722385429912e-01 8.878232212678784097e-05
2.532417712279719235e-01 4.391069027782305151e-05
3.157981470184595962e-01 1.726541018151010048e-05
3.938073453550269831e-01 5.110433130204455887e-06
4.910865586760655432e-01 1.018523470203147596e-06
6.123959112415324757e-01 1.092020366997431546e-07
