# |dUx/dy|[1/s]	histogram
1.117926801369632724e-04 6.519779363943786581e-06
1.397140571795882510e-04 7.585162133901102014e-06
1.746090866563554530e-04 8.886767414814511902e-06
2.182195103229805076e-04 1.025067114530037800e-05
2.727220879364708039e-04 1.188513631845893406e-05
3.408372474960846919e-04 1.384505432306727159e-05
4.259648720046778597e-04 1.627409882389541063e-05
5.323540003768097682e-04 1.903727379784331231e-05
6.653149129022080041e-04 2.237673157938941141e-05
8.314841872452567988e-04 2.604602174478360061e-05
1.039155954919240626e-03 3.082412546706947486e-05
1.298695892487976636e-03 3.598325614641097766e-05
1.623058611347917091e-03 4.251490191516641868e-05
2.028434270954636732e-03 5.028432755858989328e-05
2.535056690384226725e-03 5.926456676445444015e-05
3.168213294107543893e-03 7.058947603097990480e-05
3.959507302157582939e-03 8.363446924704499462e-05
4.948435165333612412e-03 9.948832109665144488e-05
6.184357981147564805e-03 1.186694144662608572e-04
7.728965291274075139e-03 1.418795748968654930e-04
9.659354237872657539e-03 1.684099127032766784e-04
1.207187777101895176e-02 2.005847705978660786e-04
1.508695398570625290e-02 2.371072135848829258e-04
1.885507664045917367e-02 2.791248546564948328e-04
2.356432686507902927e-02 3.229303733567488646e-04
2.944976099501883313e-02 3.615741878069812613e-04
3.680514311439994635e-02 3.816084213253806943e-04
4.599760792288207223e-02 3.639630934229344528e-04
5.748598580504876709e-02 3.176999391353266429e-04
7.184370477522883380e-02 2.660892245929156151e-04
8.978741241968792031e-02 2.204356264826684217e-04
1.122127464646390793e-01 1.767197858525094631e-04
1.402390394132390916e-01 1.297041124271045356e-04
1.752651886276178905e-01 8.280512050626992471e-05
2.190394805412121115e-01 4.404760777057363519e-05
2.737468541896386776e-01 1.943464457610302731e-05
3.421179597101169367e-01 6.762155188458872368e-06
4.275654553280463510e-01 1.699656228064914953e-06
5.343543459243703664e-01 2.424617028982598010e-07
6.678148654202835655e-01 1.655100785678126352e-08
