# |dZW|[1/s]	histogram
1.111037226952254646e-04 7.908960081009606556e-06
1.371468485645877824e-04 9.517675540931994744e-06
1.692945800096604266e-04 1.156025321399274685e-05
2.089778592845310638e-04 1.392176038376381135e-05
2.579630468302840048e-04 1.712308903262968983e-05
3.184305445456777814e-04 2.087838366702057021e-05
3.930718486449241819e-04 2.502144734323233876e-05
4.852093520663341574e-04 3.003479865054653865e-05
5.989442290111758171e-04 3.629670263733945803e-05
7.393389841685252956e-04 4.334078891962870965e-05
9.126427921574434493e-04 5.203565478357965058e-05
1.126569657372590398e-03 6.242498530997510038e-05
1.390641775532314118e-03 7.481972794026433074e-05
1.716613380450805488e-03 8.905043495160291532e-05
2.118993942070214378e-03 1.056071490351367373e-04
2.615694004057627503e-03 1.250225223706074055e-04
3.228822408137075033e-03 1.464071689519624289e-04
3.985670390770378047e-03 1.715821370407838702e-04
4.919926355760509407e-03 1.999357438955400457e-04
6.073175394071717199e-03 2.334910579201412897e-04
7.496750296673255348e-03 2.714178134728486864e-04
9.254016451678797120e-03 3.115871862430254473e-04
1.142319232987443721e-02 3.502784926048569530e-04
1.410083110254572135e-02 3.812073399545277963e-04
1.740611836347382563e-02 3.940553896348494844e-04
2.148617725295375383e-02 3.831954350531244051e-04
2.652261712261576310e-02 3.451274517053235132e-04
3.273961723163976156e-02 2.725155747440640569e-04
4.041390529143110838e-02 1.744942388374488146e-04
4.988707501828543861e-02 7.475301595442733482e-05
6.158079096621522919e-02 1.925665444337844312e-05
7.601555742914808955e-02 3.279463379503300136e-06
9.383388684361440579e-02 3.917058705830978038e-07
1.158288989512038930e-01 6.513611665662222272e-08
1.429796237110816659e-01 3.165266576794778519e-08
1.764945793465131363e-01 1.490248958610496111e-08
2.178655652475906257e-01 5.065803736561957926e-09
2.689340641304513446e-01 2.078703063845832588e-09
3.319732091096096460e-01 9.021612762394326523e-10
4.097889641569356090e-01 2.919333386142142217e-10
