# |dZZ|[1/s]	histogram
1.098955394664457349e-04 7.165578835820573373e-06
1.327211682453118935e-04 8.480939401484139121e-06
1.602877476731321251e-04 1.021895937689557633e-05
1.935799872303579938e-04 1.213149695087167141e-05
2.337871234707413111e-04 1.448707266019902320e-05
2.823454008997487090e-04 1.744942378884588232e-05
3.409893762571431018e-04 2.068026598887495358e-05
4.118138788508915525e-04 2.456575701547877855e-05
4.973488402357935899e-04 2.926650924544660706e-05
6.006496662378172768e-04 3.486575533058510531e-05
7.254063795153420586e-04 4.129306848004409003e-05
8.760754313533749248e-04 4.891108394292184754e-05
1.058038891157518299e-03 5.828370742656384558e-05
1.277796700076946814e-03 6.914564668682708377e-05
1.543198856273849968e-03 8.131494266015238444e-05
1.863725825760476594e-03 9.582361385976280628e-05
2.250827195396896963e-03 1.125641796203198132e-04
2.718330665118637822e-03 1.310554613786992818e-04
3.282935989060393328e-03 1.515771926383068522e-04
3.964811509712916349e-03 1.746634468234278988e-04
4.788314593989732512e-03 1.980014323797474069e-04
5.782861705997024114e-03 2.225930631799179910e-04
6.983979196492729608e-03 2.483817337606301565e-04
8.434572344426096574e-03 2.734135348243032452e-04
1.018645798216068557e-02 2.958432399003899788e-04
1.230221545149191680e-02 3.122600208784243915e-04
1.485742200870731645e-02 3.221851474585471151e-04
1.794335252989336105e-02 3.261440212662248921e-04
2.167023995302419515e-02 3.185689695481396660e-04
2.617121292352142872e-02 2.915498711129854530e-04
3.160705130044991901e-02 2.386480467433697503e-04
3.817192939542417979e-02 1.585195131475498204e-04
4.610035209923260546e-02 7.669467762899673247e-05
5.567553166248863372e-02 2.499254367083376949e-05
6.723950435841406781e-02 5.557307607987477249e-06
8.120534840642228136e-02 9.550471217513456512e-07
9.807193959458812560e-02 1.307466868105677804e-07
1.184417716885736716e-01 2.092386343702234974e-08
1.430424781922262911e-01 2.120759276524886161e-09
1.727528242415464210e-01 1.116729958505757736e-09
