# binCenter	count
0.000116015	216.032
0.000156152	180.096
0.000210174	155.756
0.000282885	136.014
0.000380752	118.893
0.000512476	107.147
0.000689771	96.4558
0.000928403	87.0737
0.00124959	78.5133
0.0016819	69.7306
0.00226377	60.9429
0.00304693	51.3577
0.00410104	43.9222
0.00551983	37.9272
0.00742947	32.0393
0.00999975	26.1977
0.0134592	20.7506
0.0181156	15.8313
0.0243828	11.4556
0.0328183	7.38523
0.044172	4.26931
0.0594537	2.13593
0.0800221	0.958232
0.107706	0.406223
0.144968	0.183656
0.195121	0.0849443
0.262625	0.0358212
0.353483	0.0106685
0.475773	0.00299005
0.64037	0.000665254
0.861911	0.000139865
1.1601	1.97492e-05
1.56144	1.15697e-05
2.10164	5.216e-06
2.82871	8.28012e-07
3.80733	7.25573e-07
5.12451	4.88007e-07
6.89737	2.00904e-07
9.28357	6.82674e-08
12.4953	3.16469e-08
