# binIndex1	binCenter1	binIndex2	binCenter2	count
0	5.94036e-07	0	-0.375439	0
0	5.94036e-07	1	-0.362079	0
0	5.94036e-07	2	-0.348719	0
0	5.94036e-07	3	-0.335359	0
0	5.94036e-07	4	-0.321999	0
0	5.94036e-07	5	-0.308638	0
0	5.94036e-07	6	-0.295278	0
0	5.94036e-07	7	-0.281918	0
0	5.94036e-07	8	-0.268558	0
0	5.94036e-07	9	-0.255198	0
0	5.94036e-07	10	-0.241838	0
0	5.94036e-07	11	-0.228477	0
0	5.94036e-07	12	-0.215117	0
0	5.94036e-07	13	-0.201757	0
0	5.94036e-07	14	-0.188397	0
0	5.94036e-07	15	-0.175037	0
0	5.94036e-07	16	-0.161677	0
0	5.94036e-07	17	-0.148316	0
0	5.94036e-07	18	-0.134956	0
0	5.94036e-07	19	-0.121596	0
0	5.94036e-07	20	-0.108236	0
0	5.94036e-07	21	-0.0948757	0
0	5.94036e-07	22	-0.0815155	0
0	5.94036e-07	23	-0.0681554	0
0	5.94036e-07	24	-0.0547952	0
0	5.94036e-07	25	-0.041435	9.53021e-06
0	5.94036e-07	26	-0.0280749	0.00117103
0	5.94036e-07	27	-0.0147147	0.0556164
0	5.94036e-07	28	-0.00135454	0.834868
0	5.94036e-07	29	0.0120056	0.105316
0	5.94036e-07	30	0.0253658	0.00300714
0	5.94036e-07	31	0.038726	1.19072e-05
0	5.94036e-07	32	0.0520861	0
0	5.94036e-07	33	0.0654463	0
0	5.94036e-07	34	0.0788065	0
0	5.94036e-07	35	0.0921666	0
0	5.94036e-07	36	0.105527	0
0	5.94036e-07	37	0.118887	0
0	5.94036e-07	38	0.132247	0
0	5.94036e-07	39	0.145607	0
0	5.94036e-07	40	0.158967	0
0	5.94036e-07	41	0.172328	0
0	5.94036e-07	42	0.185688	0
0	5.94036e-07	43	0.199048	0
0	5.94036e-07	44	0.212408	0
0	5.94036e-07	45	0.225768	0
0	5.94036e-07	46	0.239128	0
0	5.94036e-07	47	0.252489	0
0	5.94036e-07	48	0.265849	0
0	5.94036e-07	49	0.279209	0
1	1.78211e-06	0	-0.375439	0
1	1.78211e-06	1	-0.362079	0
1	1.78211e-06	2	-0.348719	0
1	1.78211e-06	3	-0.335359	0
1	1.78211e-06	4	-0.321999	0
1	1.78211e-06	5	-0.308638	0
1	1.78211e-06	6	-0.295278	0
1	1.78211e-06	7	-0.281918	0
1	1.78211e-06	8	-0.268558	0
1	1.78211e-06	9	-0.255198	0
1	1.78211e-06	10	-0.241838	0
1	1.78211e-06	11	-0.228477	0
1	1.78211e-06	12	-0.215117	0
1	1.78211e-06	13	-0.201757	0
1	1.78211e-06	14	-0.188397	0
1	1.78211e-06	15	-0.175037	0
1	1.78211e-06	16	-0.161677	0
1	1.78211e-06	17	-0.148316	0
1	1.78211e-06	18	-0.134956	0
1	1.78211e-06	19	-0.121596	0
1	1.78211e-06	20	-0.108236	0
1	1.78211e-06	21	-0.0948757	2.44205e-06
1	1.78211e-06	22	-0.0815155	0
1	1.78211e-06	23	-0.0681554	2.91806e-06
1	1.78211e-06	24	-0.0547952	1.547e-05
1	1.78211e-06	25	-0.041435	0.000408489
1	1.78211e-06	26	-0.0280749	0.0146238
1	1.78211e-06	27	-0.0147147	0.13396
1	1.78211e-06	28	-0.00135454	0.628124
1	1.78211e-06	29	0.0120056	0.195989
1	1.78211e-06	30	0.0253658	0.025917
1	1.78211e-06	31	0.038726	0.000935663
1	1.78211e-06	32	0.0520861	1.43498e-05
1	1.78211e-06	33	0.0654463	2.86686e-06
1	1.78211e-06	34	0.0788065	1.38361e-06
1	1.78211e-06	35	0.0921666	1.22289e-06
1	1.78211e-06	36	0.105527	4.81215e-07
1	1.78211e-06	37	0.118887	9.62053e-07
1	1.78211e-06	38	0.132247	0
1	1.78211e-06	39	0.145607	0
1	1.78211e-06	40	0.158967	0
1	1.78211e-06	41	0.172328	0
1	1.78211e-06	42	0.185688	0
1	1.78211e-06	43	0.199048	0
1	1.78211e-06	44	0.212408	0
1	1.78211e-06	45	0.225768	0
1	1.78211e-06	46	0.239128	0
1	1.78211e-06	47	0.252489	0
1	1.78211e-06	48	0.265849	0
1	1.78211e-06	49	0.279209	0
