# binIndex1	binCenter1	binIndex2	binCenter2	count
0	5.94036e-07	0	-0.375439	0
0	5.94036e-07	1	-0.362079	0
0	5.94036e-07	2	-0.348719	0
0	5.94036e-07	3	-0.335359	0
0	5.94036e-07	4	-0.321999	0
0	5.94036e-07	5	-0.308638	0
0	5.94036e-07	6	-0.295278	0
0	5.94036e-07	7	-0.281918	0
0	5.94036e-07	8	-0.268558	0
0	5.94036e-07	9	-0.255198	0
0	5.94036e-07	10	-0.241838	0
0	5.94036e-07	11	-0.228477	0
0	5.94036e-07	12	-0.215117	0
0	5.94036e-07	13	-0.201757	0
0	5.94036e-07	14	-0.188397	0
0	5.94036e-07	15	-0.175037	0
0	5.94036e-07	16	-0.161677	0
0	5.94036e-07	17	-0.148316	0
0	5.94036e-07	18	-0.134956	0
0	5.94036e-07	19	-0.121596	0
0	5.94036e-07	20	-0.108236	0
0	5.94036e-07	21	-0.0948757	0
0	5.94036e-07	22	-0.0815155	0
0	5.94036e-07	23	-0.0681554	0
0	5.94036e-07	24	-0.0547952	0
0	5.94036e-07	25	-0.041435	32.4605
0	5.94036e-07	26	-0.0280749	3988.61
0	5.94036e-07	27	-0.0147147	189433
0	5.94036e-07	28	-0.00135454	2.84361e+06
0	5.94036e-07	29	0.0120056	358711
0	5.94036e-07	30	0.0253658	10242.5
0	5.94036e-07	31	0.038726	40.5565
0	5.94036e-07	32	0.0520861	0
0	5.94036e-07	33	0.0654463	0
0	5.94036e-07	34	0.0788065	0
0	5.94036e-07	35	0.0921666	0
0	5.94036e-07	36	0.105527	0
0	5.94036e-07	37	0.118887	0
0	5.94036e-07	38	0.132247	0
0	5.94036e-07	39	0.145607	0
0	5.94036e-07	40	0.158967	0
0	5.94036e-07	41	0.172328	0
0	5.94036e-07	42	0.185688	0
0	5.94036e-07	43	0.199048	0
0	5.94036e-07	44	0.212408	0
0	5.94036e-07	45	0.225768	0
0	5.94036e-07	46	0.239128	0
0	5.94036e-07	47	0.252489	0
0	5.94036e-07	48	0.265849	0
0	5.94036e-07	49	0.279209	0
1	1.78211e-06	0	-0.375439	0
1	1.78211e-06	1	-0.362079	0
1	1.78211e-06	2	-0.348719	0
1	1.78211e-06	3	-0.335359	0
1	1.78211e-06	4	-0.321999	0
1	1.78211e-06	5	-0.308638	0
1	1.78211e-06	6	-0.295278	0
1	1.78211e-06	7	-0.281918	0
1	1.78211e-06	8	-0.268558	0
1	1.78211e-06	9	-0.255198	0
1	1.78211e-06	10	-0.241838	0
1	1.78211e-06	11	-0.228477	0
1	1.78211e-06	12	-0.215117	0
1	1.78211e-06	13	-0.201757	0
1	1.78211e-06	14	-0.188397	0
1	1.78211e-06	15	-0.175037	0
1	1.78211e-06	16	-0.161677	0
1	1.78211e-06	17	-0.148316	0
1	1.78211e-06	18	-0.134956	0
1	1.78211e-06	19	-0.121596	0
1	1.78211e-06	20	-0.108236	0
1	1.78211e-06	21	-0.0948757	8.33599
1	1.78211e-06	22	-0.0815155	0
1	1.78211e-06	23	-0.0681554	9.96085
1	1.78211e-06	24	-0.0547952	52.8071
1	1.78211e-06	25	-0.041435	1394.39
1	1.78211e-06	26	-0.0280749	49918.5
1	1.78211e-06	27	-0.0147147	457275
1	1.78211e-06	28	-0.00135454	2.14412e+06
1	1.78211e-06	29	0.0120056	669015
1	1.78211e-06	30	0.0253658	88468.3
1	1.78211e-06	31	0.038726	3193.91
1	1.78211e-06	32	0.0520861	48.9833
1	1.78211e-06	33	0.0654463	9.78608
1	1.78211e-06	34	0.0788065	4.72298
1	1.78211e-06	35	0.0921666	4.17437
1	1.78211e-06	36	0.105527	1.64264
1	1.78211e-06	37	0.118887	3.28399
1	1.78211e-06	38	0.132247	0
1	1.78211e-06	39	0.145607	0
1	1.78211e-06	40	0.158967	0
1	1.78211e-06	41	0.172328	0
1	1.78211e-06	42	0.185688	0
1	1.78211e-06	43	0.199048	0
1	1.78211e-06	44	0.212408	0
1	1.78211e-06	45	0.225768	0
1	1.78211e-06	46	0.239128	0
1	1.78211e-06	47	0.252489	0
1	1.78211e-06	48	0.265849	0
1	1.78211e-06	49	0.279209	0
2	2.97018e-06	0	-0.375439	0
2	2.97018e-06	1	-0.362079	0
