# binIndex	binCenter	count
0	5.94036e-07	45505.6
1	1.78211e-06	45605.3
2	2.97018e-06	44544.2
3	4.15825e-06	45477.5
4	5.34633e-06	51771.1
5	6.5344e-06	48029.2
6	7.72247e-06	47014.7
7	8.91054e-06	46957.7
8	1.00986e-05	46214.3
9	1.12867e-05	45507
10	1.24748e-05	44072
11	1.36628e-05	41880.2
12	1.48509e-05	39584.8
13	1.6039e-05	36653.9
14	1.72271e-05	33600.5
15	1.84151e-05	30426.5
16	1.96032e-05	26768.8
17	2.07913e-05	23099.9
18	2.19793e-05	19605.8
19	2.31674e-05	16440
20	2.43555e-05	13632.7
21	2.55436e-05	11157.5
22	2.67316e-05	8971.21
23	2.79197e-05	7119.3
24	2.91078e-05	5472.6
25	3.02959e-05	4172.34
26	3.14839e-05	3160.4
27	3.2672e-05	2427.23
28	3.38601e-05	1796.53
29	3.50481e-05	1330.13
30	3.62362e-05	990.518
31	3.74243e-05	744.114
32	3.86124e-05	541.863
33	3.98004e-05	384.389
34	4.09885e-05	280.147
35	4.21766e-05	202.824
36	4.33647e-05	147.245
37	4.45527e-05	101.721
38	4.57408e-05	84.0083
39	4.69289e-05	65.209
40	4.81169e-05	49.6645
41	4.9305e-05	27.2548
42	5.04931e-05	21.3971
43	5.16812e-05	16.6401
44	5.28692e-05	13.0744
45	5.40573e-05	10.3889
46	5.52454e-05	9.68441
47	5.64334e-05	5.37028
48	5.76215e-05	2.8613
49	5.88096e-05	2.02482
