# binIndex	binCenter	count
0	-3.50641e-06	1175
1	-2.32866e-06	8762
2	-1.1509e-06	521673
3	2.68475e-08	1746673
4	1.2046e-06	1385499
5	2.38235e-06	1247078
6	3.5601e-06	1208157
7	4.73786e-06	1307186
8	5.91561e-06	1095228
9	7.09336e-06	1035810
10	8.27111e-06	995536
11	9.44886e-06	952062
12	1.06266e-05	909336
13	1.18044e-05	865364
14	1.29821e-05	815679
15	1.41599e-05	754006
16	1.53376e-05	683530
17	1.65154e-05	620942
18	1.76931e-05	545650
19	1.88709e-05	469171
20	2.00486e-05	392717
21	2.12264e-05	325818
22	2.24041e-05	264393
23	2.35819e-05	213154
24	2.47596e-05	169918
25	2.59374e-05	133754
26	2.71151e-05	104029
27	2.82929e-05	79399
28	2.94706e-05	59861
29	3.06484e-05	46174
30	3.18262e-05	34019
31	3.30039e-05	24250
32	3.41817e-05	18002
33	3.53594e-05	13794
34	3.65372e-05	10226
35	3.77149e-05	7169
36	3.88927e-05	4802
37	4.00704e-05	3352
38	4.12482e-05	2476
39	4.24259e-05	1793
40	4.36037e-05	1425
41	4.47814e-05	1094
42	4.59592e-05	765
43	4.71369e-05	475
44	4.83147e-05	357
45	4.94924e-05	223
46	5.06702e-05	139
47	5.18479e-05	47
48	5.30257e-05	47
49	5.42034e-05	1
