# binIndex	binCenter	count
0	-4.11371e-05	24
1	-3.9561e-05	33
2	-3.7985e-05	33
3	-3.64089e-05	37
4	-3.48328e-05	60
5	-3.32567e-05	170
6	-3.16806e-05	429
7	-3.01046e-05	775
8	-2.85285e-05	1056
9	-2.69524e-05	2189
10	-2.53763e-05	4546
11	-2.38002e-05	8149
12	-2.22242e-05	15041
13	-2.06481e-05	28207
14	-1.9072e-05	50638
15	-1.74959e-05	86561
16	-1.59198e-05	136170
17	-1.43438e-05	222881
18	-1.27677e-05	342636
19	-1.11916e-05	520782
20	-9.61552e-06	749300
21	-8.03944e-06	1025900
22	-6.46336e-06	1334904
23	-4.88728e-06	1624863
24	-3.3112e-06	1888692
25	-1.73512e-06	2668686
26	-1.59044e-07	1988350
27	1.41704e-06	1613957
28	2.99312e-06	1327229
29	4.56919e-06	1051218
30	6.14527e-06	792240
31	7.72135e-06	569957
32	9.29743e-06	395089
33	1.08735e-05	253729
34	1.24496e-05	152874
35	1.40257e-05	93482
36	1.56018e-05	54976
37	1.71778e-05	32195
38	1.87539e-05	17848
39	2.033e-05	10870
40	2.19061e-05	6614
41	2.34821e-05	3941
42	2.50582e-05	1949
43	2.66343e-05	1115
44	2.82104e-05	548
45	2.97865e-05	459
46	3.13625e-05	381
47	3.29386e-05	268
48	3.45147e-05	138
49	3.60908e-05	1
