# binIndex	binCenter	count
0	-3.4618e-25	8
1	-3.32306e-25	13
2	-3.18433e-25	22
3	-3.04559e-25	22
4	-2.90685e-25	118
5	-2.76812e-25	147
6	-2.62938e-25	288
7	-2.49064e-25	415
8	-2.3519e-25	850
9	-2.21317e-25	1327
10	-2.07443e-25	1615
11	-1.93569e-25	1818
12	-1.79696e-25	2540
13	-1.65822e-25	2836
14	-1.51948e-25	2966
15	-1.38074e-25	3171
16	-1.24201e-25	3146
17	-1.10327e-25	3768
18	-9.64532e-26	8183
19	-8.25795e-26	13746
20	-6.87058e-26	17863
21	-5.48321e-26	28633
22	-4.09584e-26	51000
23	-2.70847e-26	209117
24	-1.32109e-26	18416671
25	6.62785e-28	174282
26	1.45365e-26	47199
27	2.84102e-26	27703
28	4.22839e-26	17060
29	5.61577e-26	13579
30	7.00314e-26	7458
31	8.39051e-26	3645
32	9.77788e-26	3170
33	1.11653e-25	3139
34	1.25526e-25	3125
35	1.394e-25	2854
36	1.53274e-25	2427
37	1.67147e-25	1817
38	1.81021e-25	1462
39	1.94895e-25	1281
40	2.08769e-25	741
41	2.22642e-25	400
42	2.36516e-25	243
43	2.5039e-25	167
44	2.64263e-25	104
45	2.78137e-25	20
46	2.92011e-25	12
47	3.05885e-25	9
48	3.19758e-25	9
49	3.33632e-25	1
