# binIndex	binCenter	count
0	0.877292	2.17194e-06
1	0.950798	2.26934e-05
2	1.02431	4.09065e-05
3	1.09781	2.9809e-05
4	1.17132	0.00506901
5	1.24483	0.00804948
6	1.31833	0.0106652
7	1.39184	0.000444067
8	1.46535	4.34826e-07
9	1.53885	0.00313421
10	1.61236	0.0491651
11	1.68587	0.0294082
12	1.75937	0.0280216
13	1.83288	0.0118553
14	1.90639	0.0112113
15	1.9799	0.0111065
16	2.0534	0.0113793
17	2.12691	0.0482734
18	2.20042	0.157661
19	2.27392	0.076196
20	2.34743	11.3762
21	2.42094	0.982563
22	2.49444	0.330732
23	2.56795	0.149022
24	2.64146	0.0350021
25	2.71496	0.00355617
26	2.78847	0.0734565
27	2.86198	0.0324535
28	2.93549	0.0660409
29	3.00899	0.0223061
30	3.0825	0.0446807
31	3.15601	0.0202831
32	3.22951	0.00561047
33	3.30302	0.000120839
34	3.37653	0.000275381
35	3.45003	8.36861e-06
36	3.52354	1.1695e-05
37	3.59705	1.30281e-05
38	3.67055	1.10817e-05
39	3.74406	9.06231e-06
40	3.81757	1.26557e-05
41	3.89108	3.525e-06
42	3.96458	3.58627e-06
43	4.03809	4.86571e-06
44	4.1116	0
45	4.1851	1.26484e-06
46	4.25861	0
47	4.33212	1.31448e-06
48	4.40562	1.33014e-06
49	4.47913	4.06677e-06
