# binIndex	binCenter	count
0	-0.31404	6.01047e-06
1	-0.302539	0
2	-0.291039	0
3	-0.279538	0
4	-0.268038	0
5	-0.256537	0
6	-0.245037	0
7	-0.233537	0
8	-0.222036	6.01062e-06
9	-0.210536	3.90744e-06
10	-0.199035	0
11	-0.187535	1.04896e-05
12	-0.176035	1.64669e-05
13	-0.164534	2.70788e-05
14	-0.153034	1.43679e-05
15	-0.141533	7.04847e-05
16	-0.130033	0.000200064
17	-0.118532	0.000427355
18	-0.107032	0.000918167
19	-0.0955316	0.00208601
20	-0.0840312	0.00727289
21	-0.0725307	0.0284069
22	-0.0610303	0.144346
23	-0.0495299	0.70431
24	-0.0380295	2.65417
25	-0.0265291	6.61189
26	-0.0150286	13.0798
27	-0.00352821	26.8146
28	0.00797221	19.8656
29	0.0194726	10.0717
30	0.0309731	4.87205
31	0.0424735	1.63852
32	0.0539739	0.363634
33	0.0654743	0.0713636
34	0.0769747	0.0151144
35	0.0884752	0.00477294
36	0.0999756	0.00129098
37	0.111476	0.000363393
38	0.122976	0.000189026
39	0.134477	6.22359e-05
40	0.145977	3.58591e-05
41	0.157478	2.24271e-05
42	0.168978	1.37463e-05
43	0.180479	0
44	0.191979	0
45	0.203479	0
46	0.21498	0
47	0.22648	0
48	0.237981	0
49	0.249481	5.79245e-06
