# binIndex	binCenter	count
0	-0.375439	4.98613e-06
1	-0.362079	5.17381e-06
2	-0.348719	1.9518e-06
3	-0.335359	0
4	-0.321999	0
5	-0.308638	0
6	-0.295278	0
7	-0.281918	0
8	-0.268558	6.8027e-06
9	-0.255198	3.9309e-06
10	-0.241838	5.17168e-06
11	-0.228477	2.30015e-05
12	-0.215117	1.21099e-05
13	-0.201757	8.08699e-06
14	-0.188397	1.28487e-05
15	-0.175037	2.74295e-05
16	-0.161677	4.99074e-05
17	-0.148316	6.76011e-05
18	-0.134956	0.000137572
19	-0.121596	0.000236589
20	-0.108236	0.000436558
21	-0.0948757	0.00164282
22	-0.0815155	0.00975106
23	-0.0681554	0.0702998
24	-0.0547952	0.452012
25	-0.041435	2.16839
26	-0.0280749	6.37739
27	-0.0147147	13.908
28	-0.00135454	24.8588
29	0.0120056	15.8287
30	0.0253658	7.59828
31	0.038726	2.8006
32	0.0520861	0.654745
33	0.0654463	0.0982692
34	0.0788065	0.0168049
35	0.0921666	0.00306362
36	0.105527	0.000646107
37	0.118887	0.000308022
38	0.132247	0.000193011
39	0.145607	0.000106755
40	0.158967	8.71152e-05
41	0.172328	4.87779e-05
42	0.185688	3.86266e-05
43	0.199048	2.37826e-05
44	0.212408	2.97905e-05
45	0.225768	0
46	0.239128	3.91379e-06
47	0.252489	9.92393e-06
48	0.265849	4.10675e-06
49	0.279209	1.01602e-05
