# binIndex	binCenter	count
0	-0.56802	1.67152e-06
1	-0.545518	0
2	-0.523016	3.2403e-06
3	-0.500514	8.2555e-06
4	-0.478013	1.30526e-05
5	-0.455511	1.10801e-05
6	-0.433009	2.81388e-05
7	-0.410507	4.0632e-05
8	-0.388005	7.10018e-05
9	-0.365503	0.00013898
10	-0.343001	0.000233208
11	-0.320499	0.000347679
12	-0.297997	0.000727621
13	-0.275495	0.00106237
14	-0.252993	0.0020224
15	-0.230492	0.00355838
16	-0.20799	0.00662182
17	-0.185488	0.0126901
18	-0.162986	0.0244539
19	-0.140484	0.0508334
20	-0.117982	0.111922
21	-0.0954801	0.255248
22	-0.0729782	0.670436
23	-0.0504763	2.39946
24	-0.0279744	7.93399
25	-0.00547248	15.1386
26	0.0170294	11.3339
27	0.0395313	4.62601
28	0.0620332	1.17049
29	0.0845352	0.390663
30	0.107037	0.16052
31	0.129539	0.0727408
32	0.152041	0.0341333
33	0.174543	0.0176722
34	0.197045	0.00948759
35	0.219547	0.00511599
36	0.242049	0.00307245
37	0.26455	0.00185127
38	0.287052	0.00104634
39	0.309554	0.000579102
40	0.332056	0.000369524
41	0.354558	0.000253147
42	0.37706	0.000124247
43	0.399562	7.76639e-05
44	0.422064	2.86278e-05
45	0.444566	2.25696e-05
46	0.467068	9.78957e-06
47	0.48957	1.09119e-05
48	0.512071	5.02019e-06
49	0.534573	5.12632e-06
