# binIndex	binCenter	count
0	-1.25996	6.8962e-07
1	-1.20542	6.89541e-07
2	-1.15088	6.89456e-07
3	-1.09634	5.70504e-06
4	-1.0418	5.29606e-06
5	-0.987258	1.31849e-05
6	-0.932717	2.4122e-05
7	-0.878177	5.2642e-05
8	-0.823636	9.45746e-05
9	-0.769095	0.000158532
10	-0.714555	0.000304691
11	-0.660014	0.00059084
12	-0.605474	0.00107665
13	-0.550933	0.00215261
14	-0.496393	0.00409042
15	-0.441852	0.00832109
16	-0.387311	0.0177731
17	-0.332771	0.0381736
18	-0.27823	0.0856829
19	-0.22369	0.199567
20	-0.169149	0.473163
21	-0.114608	1.07042
22	-0.0600678	3.15818
23	-0.00552716	6.99079
24	0.0490134	4.02481
25	0.103554	1.27496
26	0.158095	0.560083
27	0.212635	0.237521
28	0.267176	0.102217
29	0.321716	0.0449381
30	0.376257	0.0203628
31	0.430798	0.00968406
32	0.485338	0.00471569
33	0.539879	0.00234096
34	0.594419	0.00124352
35	0.64896	0.000710309
36	0.703501	0.000325443
37	0.758041	0.000188215
38	0.812582	0.000112689
39	0.867122	5.69537e-05
40	0.921663	3.05298e-05
41	0.976204	1.17596e-05
42	1.03074	6.34736e-06
43	1.08528	4.27014e-06
44	1.13983	2.77615e-06
45	1.19437	6.87603e-07
46	1.24891	0
47	1.30345	0
48	1.35799	0
49	1.41253	4.7811e-07
