# binIndex	binCenter	count
0	-0.127618	2.20893e-05
1	-0.121432	5.61861e-06
2	-0.115246	1.68705e-05
3	-0.10906	2.25359e-05
4	-0.102874	0.000154908
5	-0.0966882	0.000776773
6	-0.0905022	0.0021562
7	-0.0843161	0.00442872
8	-0.0781301	0.00907444
9	-0.0719441	0.0212613
10	-0.0657581	0.0571453
11	-0.059572	0.13947
12	-0.053386	0.349487
13	-0.0472	0.848241
14	-0.041014	1.82623
15	-0.0348279	3.44445
16	-0.0286419	5.66199
17	-0.0224559	8.36333
18	-0.0162698	11.9114
19	-0.0100838	17.2599
20	-0.00389779	25.351
21	0.00228823	30.3868
22	0.00847426	19.457
23	0.0146603	13.1082
24	0.0208463	9.1752
25	0.0270323	6.25157
26	0.0332184	3.95593
27	0.0394044	2.20115
28	0.0455904	1.06561
29	0.0517764	0.476929
30	0.0579625	0.196344
31	0.0641485	0.0763677
32	0.0703345	0.0298771
33	0.0765206	0.0121596
34	0.0827066	0.00579283
35	0.0888926	0.00245964
36	0.0950786	0.00109047
37	0.101265	0.00057034
38	0.107451	0.00038932
39	0.113637	0.000383737
40	0.119823	0.000135782
41	0.126009	5.92858e-05
42	0.132195	4.23792e-05
43	0.138381	1.47538e-05
44	0.144567	2.54346e-05
45	0.150753	8.43594e-06
46	0.156939	1.70166e-05
47	0.163125	8.48249e-06
48	0.169311	8.38052e-06
49	0.175497	8.51476e-06
