# binIndex1	binCenter1	binIndex2	binCenter2	count
0	1.08311e-07	0	0.000110861	6.07618e+10
0	1.08311e-07	1	0.000136249	5.13756e+10
0	1.08311e-07	2	0.000167451	5.46615e+10
0	1.08311e-07	3	0.000205799	5.02416e+10
0	1.08311e-07	4	0.000252928	4.70261e+10
0	1.08311e-07	5	0.000310851	4.03255e+10
0	1.08311e-07	6	0.000382039	3.79419e+10
0	1.08311e-07	7	0.000469529	3.34473e+10
0	1.08311e-07	8	0.000577055	3.11048e+10
0	1.08311e-07	9	0.000709206	2.72268e+10
0	1.08311e-07	10	0.00087162	1.99487e+10
0	1.08311e-07	11	0.00107123	1.66708e+10
0	1.08311e-07	12	0.00131655	1.36924e+10
0	1.08311e-07	13	0.00161805	1.12979e+10
0	1.08311e-07	14	0.0019886	1.04511e+10
0	1.08311e-07	15	0.00244401	5.8953e+09
0	1.08311e-07	16	0.0030037	3.64669e+09
0	1.08311e-07	17	0.00369158	2.71311e+09
0	1.08311e-07	18	0.00453698	1.97044e+09
0	1.08311e-07	19	0.00557599	1.50962e+09
0	1.08311e-07	20	0.00685294	8.50877e+08
0	1.08311e-07	21	0.00842232	3.0213e+08
0	1.08311e-07	22	0.0103511	7.5547e+07
0	1.08311e-07	23	0.0127216	2.1107e+07
0	1.08311e-07	24	0.015635	0
0	1.08311e-07	25	0.0192155	0
0	1.08311e-07	26	0.023616	0
0	1.08311e-07	27	0.0290243	0
0	1.08311e-07	28	0.0356711	0
0	1.08311e-07	29	0.0438401	0
0	1.08311e-07	30	0.0538799	0
0	1.08311e-07	31	0.0662189	0
0	1.08311e-07	32	0.0813836	0
0	1.08311e-07	33	0.100021	0
0	1.08311e-07	34	0.122927	0
0	1.08311e-07	35	0.151078	0
0	1.08311e-07	36	0.185676	0
0	1.08311e-07	37	0.228198	0
0	1.08311e-07	38	0.280457	0
0	1.08311e-07	39	0.344684	0
1	1.27063e-07	0	0.000110861	4.68067e+10
1	1.27063e-07	1	0.000136249	4.57939e+10
1	1.27063e-07	2	0.000167451	4.40496e+10
1	1.27063e-07	3	0.000205799	3.97037e+10
1	1.27063e-07	4	0.000252928	3.74745e+10
1	1.27063e-07	5	0.000310851	3.27169e+10
1	1.27063e-07	6	0.000382039	3.14598e+10
1	1.27063e-07	7	0.000469529	2.60456e+10
1	1.27063e-07	8	0.000577055	2.43213e+10
1	1.27063e-07	9	0.000709206	2.25113e+10
1	1.27063e-07	10	0.00087162	1.73292e+10
1	1.27063e-07	11	0.00107123	1.49287e+10
1	1.27063e-07	12	0.00131655	1.08892e+10
1	1.27063e-07	13	0.00161805	9.57048e+09
1	1.27063e-07	14	0.0019886	7.57088e+09
1	1.27063e-07	15	0.00244401	6.39094e+09
1	1.27063e-07	16	0.0030037	3.79822e+09
1	1.27063e-07	17	0.00369158	2.30246e+09
1	1.27063e-07	18	0.00453698	1.72635e+09
1	1.27063e-07	19	0.00557599	1.29101e+09
1	1.27063e-07	20	0.00685294	9.44827e+08
1	1.27063e-07	21	0.00842232	3.49477e+08
1	1.27063e-07	22	0.0103511	1.16343e+08
1	1.27063e-07	23	0.0127216	1.83429e+07
1	1.27063e-07	24	0.015635	4.55443e+06
1	1.27063e-07	25	0.0192155	897377
1	1.27063e-07	26	0.023616	0
1	1.27063e-07	27	0.0290243	0
1	1.27063e-07	28	0.0356711	0
1	1.27063e-07	29	0.0438401	0
1	1.27063e-07	30	0.0538799	0
1	1.27063e-07	31	0.0662189	0
1	1.27063e-07	32	0.0813836	0
1	1.27063e-07	33	0.100021	0
1	1.27063e-07	34	0.122927	0
1	1.27063e-07	35	0.151078	0
1	1.27063e-07	36	0.185676	0
1	1.27063e-07	37	0.228198	0
1	1.27063e-07	38	0.280457	0
1	1.27063e-07	39	0.344684	0
2	1.49061e-07	0	0.000110861	3.74417e+10
2	1.49061e-07	1	0.000136249	3.84798e+10
2	1.49061e-07	2	0.000167451	3.2226e+10
2	1.49061e-07	3	0.000205799	2.99675e+10
2	1.49061e-07	4	0.000252928	2.76256e+10
2	1.49061e-07	5	0.000310851	2.73694e+10
2	1.49061e-07	6	0.000382039	2.37472e+10
2	1.49061e-07	7	0.000469529	2.13491e+10
2	1.49061e-07	8	0.000577055	1.9518e+10
2	1.49061e-07	9	0.000709206	1.72493e+10
2	1.49061e-07	10	0.00087162	1.51909e+10
2	1.49061e-07	11	0.00107123	1.27846e+10
2	1.49061e-07	12	0.00131655	9.64603e+09
2	1.49061e-07	13	0.00161805	8.00716e+09
2	1.49061e-07	14	0.0019886	6.34004e+09
2	1.49061e-07	15	0.00244401	5.66425e+09
2	1.49061e-07	16	0.0030037	4.25725e+09
2	1.49061e-07	17	0.00369158	2.17466e+09
2	1.49061e-07	18	0.00453698	1.48048e+09
2	1.49061e-07	19	0.00557599	1.18625e+09
2	1.49061e-07	20	0.00685294	7.96713e+08
2	1.49061e-07	21	0.00842232	4.6155e+08
2	1.49061e-07	22	0.0103511	1.11193e+08
2	1.49061e-07	23	0.0127216	2.70433e+07
2	1.49061e-07	24	0.015635	4.78553e+06
2	1.49061e-07	25	0.0192155	1.16969e+06
2	1.49061e-07	26	0.023616	0
2	1.49061e-07	27	0.0290243	0
2	1.49061e-07	28	0.0356711	0
2	1.49061e-07	29	0.0438401	0
2	1.49061e-07	30	0.0538799	0
2	1.49061e-07	31	0.0662189	0
2	1.49061e-07	32	0.0813836	0
2	1.49061e-07	33	0.100021	0
2	1.49061e-07	34	0.122927	0
2	1.49061e-07	35	0.151078	0
2	1.49061e-07	36	0.185676	0
2	1.49061e-07	37	0.228198	0
2	1.49061e-07	38	0.280457	0
2	1.49061e-07	39	0.344684	0
3	1.74867e-07	0	0.000110861	3.27077e+10
3	1.74867e-07	1	0.000136249	2.97192e+10
