# binCenter	count
1.08311e-07	38377.8
1.27063e-07	38041.1
1.49061e-07	39244.6
1.74867e-07	40237.2
2.05142e-07	40818.7
2.40657e-07	41723.1
2.82322e-07	43204.1
3.312e-07	44408.7
3.8854e-07	45702.3
4.55807e-07	46460.1
5.34719e-07	46871.2
6.27294e-07	46717.1
7.35896e-07	46903.6
8.633e-07	47113.6
1.01276e-06	47234.8
1.1881e-06	47280.3
1.39379e-06	46869.7
1.6351e-06	46093.3
1.91818e-06	45313.5
2.25027e-06	44719.7
2.63985e-06	44523.3
3.09688e-06	44917.5
3.63304e-06	45189.1
4.26202e-06	45748.3
4.99989e-06	51417.9
5.86551e-06	50279.2
6.88099e-06	47767
8.07228e-06	47266.1
9.46982e-06	46826
1.11093e-05	45803.1
1.30326e-05	43167.8
1.5289e-05	38552.1
1.79359e-05	31646.7
2.10411e-05	22317.2
2.46839e-05	12939.7
2.89574e-05	5755.77
3.39707e-05	1830.42
3.9852e-05	418.576
4.67514e-05	69.6292
5.48454e-05	9.09861
