# binCenter	count
0.85839	5.18159e-07
0.89524	3.74561e-06
0.933671	4.71162e-06
0.973753	7.0685e-05
1.01555	3.41288e-05
1.05915	3.14085e-06
1.10462	4.5023e-05
1.15204	0.00182482
1.20149	0.00660679
1.25307	0.010147
1.30687	0.0130981
1.36297	0.00183026
1.42148	1.58938e-06
1.4825	0
1.54614	0.00354584
1.61252	0.0523705
1.68174	0.0300135
1.75393	0.0290642
1.82923	0.011558
1.90776	0.0110177
1.98965	0.011671
2.07507	0.0230134
2.16415	0.119735
2.25705	0.0844468
2.35394	8.7797
2.45499	0.56222
2.56038	0.166114
2.6703	0.0193913
2.78493	0.048797
2.90448	0.0574119
3.02917	0.0313899
3.15921	0.0212948
3.29483	0.000863978
3.43627	4.02243e-05
3.58379	1.21286e-05
3.73764	1.21688e-05
3.89809	4.75253e-06
4.06543	2.09289e-06
4.23995	5.21653e-07
4.42197	2.65402e-06
