# binCenter	count
0.000110614	76.8562
0.000135342	76.0752
0.000165598	75.5008
0.000202617	74.1937
0.000247912	73.8436
0.000303332	73.2015
0.000371142	71.1103
0.000454111	70.1392
0.000555627	69.3566
0.000679838	67.4378
0.000831815	66.1661
0.00101777	64.9936
0.00124529	63.4078
0.00152367	61.81
0.00186429	60.0924
0.00228105	58.2698
0.00279098	55.9549
0.0034149	53.3551
0.0041783	50.5295
0.00511236	47.09
0.00625523	43.6293
0.00765358	40.0472
0.00936454	36.0522
0.011458	31.7078
0.0140194	27.1666
0.0171534	22.7145
0.0209881	18.3661
0.02568	13.8505
0.0314207	9.25381
0.0384448	4.9081
0.0470391	1.82252
0.0575547	0.441043
0.0704211	0.0748198
0.0861637	0.0120161
0.105426	0.00187455
0.128993	0.000342876
0.15783	5.20307e-05
0.193113	4.27804e-06
0.236283	2.86645e-06
0.289104	1.19299e-06
