# binCenter	count
0.000110861	79.2757
0.000136249	76.292
0.000167451	73.3601
0.000205799	70.4921
0.000252928	68.9115
0.000310851	67.3789
0.000382039	65.5216
0.000469529	64.1468
0.000577055	63.0094
0.000709206	61.5828
0.00087162	59.6677
0.00107123	58.5909
0.00131655	56.8934
0.00161805	55.1608
0.0019886	53.2632
0.00244401	51.3458
0.0030037	49.2082
0.00369158	46.8326
0.00453698	44.4499
0.00557599	41.9877
0.00685294	39.6018
0.00842232	37.0672
0.0103511	34.1367
0.0127216	30.7145
0.015635	26.5012
0.0192155	21.763
0.023616	16.7063
0.0290243	11.7122
0.0356711	7.05634
0.0438401	3.24834
0.0538799	0.965867
0.0662189	0.173605
0.0813836	0.0227318
0.100021	0.00257086
0.122927	0.000450782
0.151078	0.000181899
0.185676	5.293e-05
0.228198	2.54976e-05
0.280457	5.82237e-06
0.344684	2.2951e-06
