# binCenter	count
0.000112077	46.8415
0.000140783	44.9374
0.000176841	43.3835
0.000222135	41.9451
0.000279029	40.9018
0.000350496	39.9813
0.000440267	39.5007
0.000553031	38.6087
0.000694676	37.9237
0.000872601	37.1654
0.0010961	36.4932
0.00137684	35.8858
0.00172948	34.4981
0.00217245	33.6085
0.00272887	32.5305
0.0034278	31.1262
0.00430575	30.028
0.00540856	28.8596
0.00679384	27.801
0.00853391	26.7148
0.0107197	25.5256
0.0134653	24.2607
0.0169141	22.5191
0.0212462	20.0317
0.0266879	16.4987
0.0335234	12.1466
0.0421096	7.56028
0.052895	3.90208
0.0664427	1.97032
0.0834605	1.03214
0.104837	0.507864
0.131688	0.228942
0.165417	0.0909249
0.207785	0.0312832
0.261004	0.00931043
0.327854	0.00242546
0.411826	0.000524699
0.517305	9.83246e-05
0.6498	1.38778e-05
0.816231	2.18044e-06
