# binCenter	count
0.000112714	26.9856
0.000143198	25.7377
0.000181926	24.5646
0.000231127	23.5342
0.000293636	22.7901
0.00037305	21.7621
0.000473941	20.743
0.000602118	19.7058
0.000764961	18.5702
0.000971844	18.051
0.00123468	17.58
0.0015686	17.0284
0.00199283	16.3579
0.00253179	16.2027
0.00321651	15.5261
0.00408641	15.0939
0.00519158	14.8811
0.00659564	14.5403
0.00837943	14.1767
0.0106456	13.928
0.0135248	13.6493
0.0171825	13.2782
0.0218295	12.8186
0.0277333	12.0476
0.0352338	10.709
0.0447628	8.61671
0.0568689	6.27377
0.0722491	4.31325
0.0917889	2.95188
0.116613	2.01368
0.148151	1.26713
0.188219	0.682108
0.239122	0.307657
0.303793	0.116272
0.385954	0.0364049
0.490335	0.0091424
0.622946	0.00189918
0.791422	0.000288957
1.00546	2.59845e-05
1.27739	9.50414e-07
