# binCenter	count
0.000109812	77.2213
0.000132417	76.8186
0.000159677	75.8643
0.000192547	75.1287
0.000232185	74.2432
0.000279982	74.1333
0.000337619	72.5359
0.000407121	71.1749
0.00049093	70.0375
0.000591992	69.0816
0.000713859	67.2878
0.000860813	65.8308
0.00103802	64.7401
0.0012517	63.1669
0.00150938	61.8229
0.0018201	60.1885
0.00219478	58.6429
0.0026466	56.873
0.00319142	54.6824
0.0038484	52.3746
0.00464063	49.4724
0.00559594	46.1781
0.00674792	42.8797
0.00813703	39.2292
0.00981211	35.3726
0.011832	31.1137
0.0142677	26.772
0.0172049	22.572
0.0207467	18.4816
0.0250175	14.3152
0.0301676	10.0464
0.0363779	5.9418
0.0438666	2.62423
0.0528969	0.801172
0.0637862	0.16589
0.0769172	0.0244467
0.0927512	0.00354048
0.111845	0.000376169
0.134869	4.25364e-05
0.162633	1.04004e-05
