# binIndex1	binCenter1	binIndex2	binCenter2	count
0	1.1194e-07	0	0.000116015	6.14033e+10
0	1.1194e-07	1	0.000156152	5.89379e+10
0	1.1194e-07	2	0.000210174	5.82479e+10
0	1.1194e-07	3	0.000282885	4.95498e+10
0	1.1194e-07	4	0.000380752	4.26818e+10
0	1.1194e-07	5	0.000512476	3.32469e+10
0	1.1194e-07	6	0.000689771	1.80457e+10
0	1.1194e-07	7	0.000928403	1.283e+10
0	1.1194e-07	8	0.00124959	8.44067e+09
0	1.1194e-07	9	0.0016819	4.44538e+09
0	1.1194e-07	10	0.00226377	2.32786e+09
0	1.1194e-07	11	0.00304693	1.12081e+09
0	1.1194e-07	12	0.00410104	6.6623e+08
0	1.1194e-07	13	0.00551983	2.85266e+08
0	1.1194e-07	14	0.00742947	1.0683e+08
0	1.1194e-07	15	0.00999975	2.83013e+07
0	1.1194e-07	16	0.0134592	9.20274e+06
0	1.1194e-07	17	0.0181156	2.15996e+06
0	1.1194e-07	18	0.0243828	691996
0	1.1194e-07	19	0.0328183	268418
0	1.1194e-07	20	0.044172	0
0	1.1194e-07	21	0.0594537	0
0	1.1194e-07	22	0.0800221	0
0	1.1194e-07	23	0.107706	0
0	1.1194e-07	24	0.144968	0
0	1.1194e-07	25	0.195121	0
0	1.1194e-07	26	0.262625	0
0	1.1194e-07	27	0.353483	0
0	1.1194e-07	28	0.475773	0
0	1.1194e-07	29	0.64037	0
0	1.1194e-07	30	0.861911	0
0	1.1194e-07	31	1.1601	0
0	1.1194e-07	32	1.56144	0
0	1.1194e-07	33	2.10164	0
0	1.1194e-07	34	2.82871	0
0	1.1194e-07	35	3.80733	0
0	1.1194e-07	36	5.12451	0
0	1.1194e-07	37	6.89737	0
0	1.1194e-07	38	9.28357	0
0	1.1194e-07	39	12.4953	0
1	1.40268e-07	0	0.000116015	4.8992e+10
1	1.40268e-07	1	0.000156152	3.99295e+10
1	1.40268e-07	2	0.000210174	3.46995e+10
1	1.40268e-07	3	0.000282885	3.06309e+10
1	1.40268e-07	4	0.000380752	2.84596e+10
1	1.40268e-07	5	0.000512476	2.99133e+10
1	1.40268e-07	6	0.000689771	1.86573e+10
1	1.40268e-07	7	0.000928403	1.01907e+10
1	1.40268e-07	8	0.00124959	7.00416e+09
1	1.40268e-07	9	0.0016819	3.97604e+09
1	1.40268e-07	10	0.00226377	2.15155e+09
1	1.40268e-07	11	0.00304693	1.0939e+09
1	1.40268e-07	12	0.00410104	6.58741e+08
1	1.40268e-07	13	0.00551983	2.84134e+08
1	1.40268e-07	14	0.00742947	1.16353e+08
1	1.40268e-07	15	0.00999975	3.95582e+07
1	1.40268e-07	16	0.0134592	9.77911e+06
1	1.40268e-07	17	0.0181156	3.4035e+06
1	1.40268e-07	18	0.0243828	405154
1	1.40268e-07	19	0.0328183	118954
1	1.40268e-07	20	0.044172	0
1	1.40268e-07	21	0.0594537	0
1	1.40268e-07	22	0.0800221	0
1	1.40268e-07	23	0.107706	0
1	1.40268e-07	24	0.144968	0
1	1.40268e-07	25	0.195121	0
1	1.40268e-07	26	0.262625	0
1	1.40268e-07	27	0.353483	0
1	1.40268e-07	28	0.475773	0
1	1.40268e-07	29	0.64037	0
1	1.40268e-07	30	0.861911	0
1	1.40268e-07	31	1.1601	0
1	1.40268e-07	32	1.56144	0
