# binCenter	count
1.1194e-07	183086
1.40268e-07	157141
1.75764e-07	128734
2.20244e-07	113923
2.75979e-07	103081
3.45818e-07	96629.2
4.33332e-07	91920.6
5.42991e-07	85708.3
6.80401e-07	81494.3
8.52584e-07	77327.8
1.06834e-06	69052.1
1.3387e-06	63256.7
1.67747e-06	58601.5
2.10197e-06	55208.2
2.6339e-06	52255.6
3.30044e-06	52573.3
4.13565e-06	49065.2
5.18223e-06	44437.5
6.49365e-06	40343.3
8.13694e-06	36352.1
1.01961e-05	32681.4
1.27763e-05	28716.6
1.60095e-05	23066.5
2.00609e-05	17534.2
2.51375e-05	11700.4
3.14989e-05	7060.01
3.947e-05	3961.18
4.94584e-05	2127.71
6.19744e-05	1066.22
7.76577e-05	542.169
9.73099e-05	335.534
0.000121935	183.197
0.000152792	92.4967
0.000191458	37.3369
0.000239909	12.8589
0.000300621	3.97785
0.000376696	1.38606
0.000472023	0.16727
0.000591474	0.06621
0.000741154	0.0613134
