# binCenter	count
0.000115522	225.361
0.000154166	190.202
0.000205739	163.086
0.000274564	138.957
0.000366412	124.446
0.000488986	111.385
0.000652564	99.9488
0.000870863	89.5338
0.00116219	80.8068
0.00155097	73.7514
0.00206981	66.9281
0.00276221	60.5606
0.00368624	51.503
0.00491937	43.3025
0.00656503	35.854
0.00876119	29.5061
0.011692	23.7752
0.0156033	18.4146
0.020823	13.4442
0.0277888	9.07458
0.0370848	5.60927
0.0494906	2.92304
0.0660465	1.39283
0.0881407	0.610156
0.117626	0.276364
0.156975	0.130338
0.209487	0.0579518
0.279565	0.0219019
0.373086	0.00721455
0.497893	0.002916
0.664451	0.000827547
0.886726	0.000164694
1.18336	5.28518e-05
1.57922	2.86102e-05
2.10751	1.05727e-05
2.81252	5.08919e-06
3.75338	2.20868e-06
5.00898	7.07169e-07
6.68461	3.44878e-07
8.92078	1.28934e-07
