# binCenter	count
0.000116494	159.603
0.000158092	130.231
0.000214543	106.734
0.000291153	88.4976
0.000395118	75.0639
0.000536208	64.9113
0.000727678	56.7768
0.000987519	50.6773
0.00134014	45.0685
0.00181869	40.129
0.00246811	35.8714
0.00334942	32.0768
0.00454544	28.7577
0.00616854	25.6863
0.00837121	22.7108
0.0113604	19.6963
0.015417	16.7805
0.0209222	13.7769
0.0283931	10.5779
0.0385317	7.41177
0.0522907	4.622
0.0709628	2.69245
0.0963023	1.49137
0.13069	0.76982
0.177357	0.38372
0.240688	0.183157
0.326634	0.0826801
0.443269	0.036312
0.601552	0.0159219
0.816356	0.00685896
1.10786	0.00270947
1.50346	0.00102882
2.04032	0.000358428
2.76888	0.000129655
3.75759	5.80323e-05
5.09936	1.99183e-05
6.92025	7.23257e-06
9.39135	2.40138e-06
12.7448	6.77737e-07
17.2958	4.02906e-07
