# binCenter	count
0.000116497	131.208
0.000158104	106.243
0.000214571	82.5431
0.000291206	65.3792
0.000395212	52.0113
0.000536363	42.8077
0.000727926	36.3382
0.000987907	31.996
0.00134074	28.5739
0.00181959	26.4186
0.00246946	24.3135
0.00335144	20.8751
0.00454841	18.4138
0.00617289	17.0095
0.00837756	15.3054
0.0113696	13.8151
0.0154303	12.1168
0.0209413	10.5231
0.0284206	8.80519
0.0385711	7.14665
0.0523468	5.3726
0.0710427	3.77211
0.0964158	2.49342
0.130851	1.55408
0.177585	0.911021
0.24101	0.494111
0.327087	0.245706
0.443907	0.111013
0.60245	0.0473607
0.817617	0.0204424
1.10963	0.00848027
1.50594	0.00334588
2.04379	0.00121236
2.77374	0.000401477
3.76438	0.00013602
5.10884	4.65366e-05
6.93348	1.70184e-05
9.4098	6.25233e-06
12.7705	1.5265e-06
17.3316	1.0023e-06
