# binCenter	count
0.000115904	223.837
0.000155703	189.409
0.000209169	161.524
0.000280993	138.301
0.00037748	122.846
0.000507099	110.494
0.000681227	98.1693
0.000915147	88.2786
0.00122939	79.6081
0.00165154	72.4447
0.00221864	65.6116
0.00298048	58.8993
0.00400391	49.2921
0.00537877	41.1794
0.00722573	33.9831
0.0097069	27.5212
0.0130401	21.7633
0.0175177	16.3398
0.023533	11.4191
0.0316137	7.37515
0.0424692	4.16149
0.0570523	2.01074
0.0766429	0.910491
0.102961	0.385459
0.138315	0.177603
0.18581	0.082834
0.249613	0.0307119
0.335325	0.011199
0.450468	0.003577
0.60515	0.00138881
0.812946	0.000275072
1.0921	6.49251e-05
1.4671	2.86465e-05
1.97087	1.54066e-05
2.64763	4.76706e-06
3.55677	2.56156e-06
4.77809	1.05042e-06
6.41879	2.91542e-07
8.62287	8.02626e-08
11.5838	5.60501e-08
