# velocity_bin_center[m/s]	shear_mean[1/s]	shear_std[1/s]
1.083110234641187600e-07 7.379751939172140597e-03 3.722915547536561292e-05
1.270626705476337715e-07 8.530706544857595552e-03 3.951546921539931964e-05
1.490607486692709597e-07 9.841004868951107667e-03 4.167968850716608707e-05
1.748673052288317423e-07 1.123022162058047793e-02 4.331674077909148003e-05
2.051416936449160328e-07 1.289232023307460180e-02 4.714183822666063003e-05
2.406574197299750521e-07 1.478241488178810847e-02 5.022984987764298202e-05
2.823219046408835783e-07 1.708833399526705696e-02 5.414776551917778729e-05
3.311996693452805582e-07 1.976335805663034448e-02 5.805530198143431014e-05
3.885395329631051080e-07 2.239500127976900429e-02 6.162077332703971649e-05
4.558065198966328428e-07 2.536905139956435740e-02 6.403989190812278481e-05
5.347192909711150470e-07 2.846714524462172838e-02 6.620067323816210107e-05
6.272940549457110575e-07 3.158122432586486089e-02 6.804598660010693965e-05
7.358960823268465029e-07 3.487344035435411410e-02 6.945286444709471510e-05
8.633001376537333867e-07 3.785112939348311833e-02 7.049606016395259319e-05
1.012761374291346649e-06 4.073141026048235358e-02 7.215176554005853086e-05
1.188098503081551565e-06 4.409218595486531778e-02 7.364722353408456124e-05
1.393791359798192388e-06 4.747927235828541814e-02 7.530512776916334383e-05
1.635095364239129830e-06 5.018211886356829105e-02 7.665805174697870139e-05
1.918175795366814905e-06 5.255075524686318028e-02 7.755682869095598564e-05
2.250265313205920205e-06 5.485402077579772800e-02 7.805774490241308293e-05
2.639848752157466750e-06 5.685351050540564388e-02 7.764663187242159539e-05
3.096879907169247355e-06 5.822430423016189405e-02 7.642255492775276455e-05
3.633035851614776424e-06 5.977325953718118368e-02 7.510427455930650134e-05
4.262015284662107850e-06 6.098259210445360068e-02 7.295409874468612688e-05
4.999888530860416790e-06 5.549528574479883902e-02 6.636773789592051030e-05
5.865508134378141837e-06 5.747053185431642841e-02 6.377371279574030652e-05
6.880990538510184927e-06 6.077577948020234516e-02 6.143708962834625021e-05
8.072281157289102436e-06 6.046850911950085727e-02 5.662782884689342746e-05
9.469817276690085302e-06 5.900444755953385828e-02 5.148288078993567597e-05
1.110930572245012081e-05 5.690735732832752358e-02 4.659272647209414833e-05
1.303263516379060544e-05 5.477340122268475886e-02 4.257562208193632229e-05
1.528894636225849296e-05 5.268332622836648799e-02 3.976540972856001602e-05
1.793588771037376618e-05 5.073848108398650025e-02 3.914366202570902748e-05
2.104108813889617947e-05 4.975068109418404050e-02 4.205136815844189810e-05
2.468388502525766689e-05 5.021203099674333148e-02 5.071385330966059576e-05
2.895735125094643726e-05 5.204319393815495104e-02 7.139118232416041614e-05
3.397067319883674514e-05 5.592230082264689622e-02 1.211011506725838844e-04
3.985194044791810352e-05 6.068737924958574059e-02 2.434213502723995041e-04
4.675141844168092940e-05 6.623073152210341707e-02 5.624031539081026819e-04
5.484538774631558616e-05 6.069682888369975354e-02 1.181228360537522025e-03
